question_ID,worker_ID,answer
0,54,Belgium
0,72,Belgium
0,94,Belgium
0,74,Belgium
0,27,Belgium
1,113,Costa rica
1,48,Costa rica
1,3,Costa rica
1,146,Costa rica
2,18,Denmark
2,94,Denmark
2,167,Denmark
2,3,Denmark
2,153,Denmark
3,27,Haiti
3,54,Haiti
3,163,Haiti
3,37,Haiti
3,153,Haiti
4,18,Hungary
4,134,Hungary
4,48,Hungary
4,115,Hungary
4,59,Hungary
5,50,Monaco
5,5,Monaco
6,55,Ireland
6,36,Ireland
6,134,Ivory coast
6,54,Ireland
6,101,Ireland
7,86,Moldova
7,55,Moldova
7,36,Romania
7,17,Moldova
8,126,Australia
8,179,New zealand
8,142,New zealand
8,138,New zealand
8,115,New zealand
9,62,Norway
9,138,Norway
9,44,Norway
9,14,Norway
9,142,Norway
10,191,Paraguay
10,167,Paraguay
10,80,Paraguay
10,44,Paraguay
10,38,Paraguay
11,74,Senegal
11,131,Senegal
11,44,Senegal
11,191,Senegal
11,173,Senegal
11,122,Senegal
12,62,Slovenia
12,100,Slovenia
12,44,Slovenia
12,110,Slovenia
12,38,Slovenia
13,100,Azerbaijan
13,30,Azerbaijan
13,58,Azerbaijan
13,131,Azerbaijan
13,180,Azerbaijan
14,138,Malta
14,180,Malta
14,185,Malta
14,58,Malta
14,154,Malta
15,159,Latvia
15,100,Latvia
15,67,Latvia
15,63,Latvia
15,185,Bosnia and herzegowina
16,57,Mexico
16,45,Mexico
16,24,Mexico
16,14,Mexico
16,29,Mexico
17,157,Brazil
17,11,Brazil
17,37,Brazil
17,45,Brazil
17,156,Brazil
18,57,Kazakhstan
18,157,Kazakhstan
18,142,Kazakhstan
18,156,Kazakhstan
18,101,Kazakhstan
19,37,Usa
19,11,Usa
19,45,Usa
19,189,Usa
19,86,Usa
20,1,Greenland
20,30,Greenland
20,177,Greenland
20,165,Gibraltar
20,34,Greenland
21,1,Israel
21,95,Israel
21,21,Israel
21,63,Israel
21,20,Israel
22,94,Aruba
22,63,Aruba
22,135,Aruba
22,174,Aruba
22,95,Aruba
23,174,Guatemala
23,21,Guatemala
23,106,Guatemala
23,95,Guatemala
23,94,Guatemala
24,128,Egypt
24,132,Egypt
24,184,Egypt
24,111,Egypt
24,27,Egypt
25,33,Bolivia
25,1,Bolivia
25,36,Bolivia
25,62,Bolivia
25,27,Bolivia
26,69,Nigeria
26,111,Nigeria
26,132,Nigeria
26,62,Nigeria
26,137,Nigeria
27,27,Colombia
27,176,Colombia
27,114,Colombia
27,64,Colombia
27,36,Colombia
28,164,Korea
28,100,Korea
28,165,Korea
28,19,Korea
28,0,Korea
29,165,Armenia
29,26,Armenia
29,111,Armenia
29,65,Armenia
29,0,Armenia
30,26,Germany
30,36,Germany
30,171,Germany
30,149,Germany
30,10,Germany
31,36,Thailand
31,183,Thailand
31,92,Thailand
31,178,Thailand
31,160,Thailand
32,149,Switzerland
32,77,Switzerland
32,171,Switzerland
32,55,Switzerland
32,131,Switzerland
33,171,Liechtenstein
33,10,Liechtenstein
33,103,Liechtenstein
33,26,Liechtenstein
33,85,Liechtenstein
34,13,Italy
34,106,Italy
34,84,Italy
34,124,Italy
34,70,Hungary
35,107,Monaco
35,187,Monaco
35,183,Monaco
35,89,Monaco
36,183,Ivory coast
36,122,Ivory coast
36,8,Ivory coast
36,164,Ivory coast
36,31,Ivory coast
36,175,Ivory coast
36,92,Ivory coast
37,12,Romania
37,187,Romania
37,141,Romania
37,143,Romania
37,164,Romania
37,23,Romania
38,46,Australia
38,66,Australia
38,187,Australia
38,103,Australia
38,168,Australia
38,172,Australia
39,49,Iceland
39,68,Iceland
39,120,Iceland
39,181,Iceland
39,66,Iceland
40,188,Croatia
40,187,Croatia
40,181,Croatia
40,120,Croatia
40,46,Croatia
41,99,Mali
41,68,Mali
41,147,Mali
41,120,Mali
41,183,Mali
42,187,Russia
42,5,Russia
42,10,Russia
42,105,Russia
42,73,Russia
43,187,Greece
43,97,Greece
43,84,Greece
43,60,Greece
43,105,Greece
44,187,United kingdom
44,101,United kingdom
44,84,United kingdom
44,122,United kingdom
44,146,United kingdom
45,105,India
45,28,India
45,152,India
45,97,India
45,53,India
46,36,Canada
46,88,Canada
46,162,Canada
46,4,Canada
46,183,Canada
47,112,Cuba
47,127,Cuba
47,88,Cuba
47,74,Cuba
47,162,Cuba
48,162,Turkey
48,118,Turkey
48,101,Turkey
48,97,Turkey
48,135,Turkey
49,88,Maldives
49,112,Maldives
49,127,Maldives
49,183,Maldives
49,74,Maldives
50,170,Dominica
50,43,Dominica
50,105,Dominica
50,41,Dominica
50,103,Dominica
51,42,Finland
51,140,Finland
51,82,Finland
51,73,Finland
51,83,Finland
52,105,Georgia republic
52,186,Georgia republic
52,73,Georgia republic
52,126,Georgia republic
52,41,Georgia republic
53,42,Catalonia
53,152,Catalonia
53,83,Catalonia
53,2,Catalonia
53,15,Catalonia
54,68,Japan
54,104,Japan
54,12,Japan
54,126,Japan
54,5,Japan
55,104,Jamaica
55,120,Jamaica
55,88,Jamaica
55,160,Jamaica
55,8,Jamaica
56,93,Philippines
56,120,Philippines
56,68,Philippines
56,16,Philippines
56,5,Philippines
57,8,France
57,170,France
57,126,France
57,12,France
57,74,France
58,36,Estonia
58,74,Estonia
58,158,Estonia
58,135,Estonia
58,83,Estonia
59,98,China
59,36,China
59,124,China
59,107,China
59,74,China
60,29,Costa rica
60,90,Costa rica
60,181,Costa rica
60,144,Costa rica
60,75,Costa rica
61,36,Denmark
61,61,Denmark
61,90,Denmark
61,9,Denmark
61,39,Denmark
62,109,Haiti
62,155,Haiti
62,32,Haiti
62,150,Haiti
62,52,Haiti
63,31,Hungary
63,7,Hungary
63,182,Hungary
63,151,Hungary
63,23,Hungary
64,81,Monaco
64,6,Indonesia
64,29,Indonesia
64,31,Indonesia
64,141,Indonesia
64,106,Indonesia
64,121,Indonesia
64,96,Indonesia
64,166,Indonesia
65,130,Ireland
65,90,Ireland
65,47,Ireland
65,117,Ireland
65,181,Ireland
65,118,Ireland
66,129,Falkland islands (malvinas)
66,169,Moldova
66,2,Romania
66,148,Romania
66,102,Romania
67,144,New zealand
67,121,New zealand
67,172,New zealand
67,122,New zealand
67,35,New zealand
67,45,New zealand
68,169,Paraguay
68,52,Croatia
68,61,Paraguay
68,129,Paraguay
68,76,Paraguay
69,144,Senegal
69,47,Senegal
69,75,Senegal
69,130,Senegal
69,29,Senegal
70,172,Costa rica
70,56,Costa rica
70,145,Costa rica
70,32,Costa rica
70,122,Costa rica
70,27,Costa rica
71,79,Denmark
71,170,Denmark
71,119,Denmark
71,139,Switzerland
71,75,Denmark
72,148,Haiti
72,190,Haiti
72,61,Haiti
72,9,Liechtenstein
72,145,Haiti
72,123,Haiti
73,148,Hungary
73,52,Hungary
73,169,Hungary
73,102,Hungary
73,61,Hungary
74,71,Indonesia
74,75,Monaco
74,119,Indonesia
74,79,Indonesia
74,170,Indonesia
74,59,Indonesia
74,18,Monaco
74,101,Indonesia
75,6,Ireland
75,7,Ireland
75,151,Ireland
76,139,Moldova
76,71,Moldova
76,27,Moldova
