question_ID,worker_ID,answer
0,79,Se mi lasci ti cancello
0,48,Skate Kitchen
0,30,Skate Kitchen
0,15,Skate Kitchen
0,22,Skate Kitchen
1,35,Beautiful Boy
1,72,Beautiful Boy
1,14,Beautiful Boy
1,71,Beautiful Boy
1,19,Beautiful Boy
2,2,Puppet Master: The Littlest Reich
2,97,Puppet Master: The Littlest Reich
2,22,Puppet Master: The Littlest Reich
2,72,Puppet Master: The Littlest Reich
2,52,Puppet Master: The Littlest Reich
3,52,Smallfoot
3,66,Smallfoot
3,71,Smallfoot
3,19,Smallfoot
3,20,Smallfoot
4,18,Upgrade
4,71,Upgrade
4,19,Upgrade
4,22,Upgrade
4,15,Upgrade
5,85,Sink or Swim
5,80,Sink or Swim
5,20,Sink or Swim
5,82,Sink or Swim
5,35,Sink or Swim
6,71,"Love, Simon"
6,35,"Love, Simon"
6,14,"Love, Simon"
6,66,"Love, Simon"
6,81,"Love, Simon"
7,23,Crowhurst
7,81,The Mercy
7,43,Crowhurst
7,40,Crowhurst
7,19,Crowhurst
8,92,Rough Night
8,59,Rough Night
8,14,Rough Night
8,79,Rough Night
8,19,Rough Night
9,2,Darkest Hour
9,92,Darkest Hour
9,40,Darkest Hour
9,77,Darkest Hour
9,20,Darkest Hour
10,16,Churchill
10,20,Churchill
10,71,Churchill
10,14,Churchill
10,2,Churchill
11,59,Anthropoid
11,14,Anthropoid
11,15,Anthropoid
11,40,Anthropoid
11,92,Anthropoid
12,8,Mowgli: Legend of the Jungle
12,20,The Jungle Book
12,2,Mowgli: Legend of the Jungle
12,57,Mowgli: Legend of the Jungle
12,66,The Jungle Book
13,71,Batman v Superman: Dawn of Justice
13,69,Batman v Superman: Dawn of Justice
13,48,Batman v Superman: Dawn of Justice
13,19,Batman v Superman: Dawn of Justice
13,8,Batman v Superman: Dawn of Justice
14,51,Zootopia
14,40,Zootopia
14,19,Zootopia
14,36,Zootopia
14,71,Zootopia
15,35,Captain Fantastic
15,8,Captain Fantastic
15,92,Captain Fantastic
15,30,Captain Fantastic
15,40,Captain Fantastic
16,14,Christine
16,76,Christine
16,35,Christine
16,92,Christine
16,66,Christine
17,35,Other People
17,69,Other People
17,85,Other People
17,50,Other People
17,43,Other People
18,40,Coming Through the Rye
18,35,Coming Through the Rye
18,85,Coming Through the Rye
18,92,Coming Through the Rye
18,71,Coming Through the Rye
19,71,Freaks of Nature
19,22,Freaks of Nature
19,40,Freaks of Nature
19,36,Scouts Guide to the Zombie Apocalypse
19,20,Freaks of Nature
20,93,Mission: Impossible – Rogue Nation
20,59,Spectre
20,15,Spectre
20,65,Spectre
20,48,Spectre
21,54,The Martian
21,30,The Martian
21,97,The Martian
21,77,The Martian
21,15,The Martian
22,47,Marguerite
22,48,Marguerite
22,92,Marguerite
22,4,Marguerite
22,85,Marguerite
23,30,The Beauty Inside
23,48,The Beauty Inside
23,77,The Beauty Inside
23,92,The Beauty Inside
23,74,The Beauty Inside
24,30,Moonwalkers
24,50,Moonwalkers
24,100,Moonwalkers
24,80,Moonwalkers
24,54,Moonwalkers
24,15,Moonwalkers
25,54,Labyrinth of Lies
25,98,Labyrinth of Lies
25,80,Labyrinth of Lies
25,44,Labyrinth of Lies
25,65,Labyrinth of Lies
26,65,Unfriended
26,48,Unfriended
26,7,Friend Request
26,15,Unfriended
26,30,Unfriended
27,98,This Is Where I Leave You
27,18,This Is Where I Leave You
27,93,This Is Where I Leave You
27,69,This Is Where I Leave You
27,16,August: Osage County
28,59,Life After Beth
28,50,Life After Beth
28,98,Life After Beth
28,65,Life After Beth
28,24,Life After Beth
29,50,The Equalizer
29,100,The Equalizer
29,74,The Equalizer
29,32,The Equalizer
29,98,The Equalizer
30,31,Hercules
30,80,The Legend of Hercules
30,16,Hercules
30,44,Hercules
30,59,Hercules
30,5,Hercules
31,80,The Machine
31,74,The Machine
31,65,The Machine
31,50,The Machine
31,59,The Machine
32,17,The Double
32,47,The Double
32,65,The Double
32,98,The Double
32,34,The Double
33,59,This Is the End
33,53,This Is the End
33,6,This Is the End
33,73,This Is the End
33,17,This Is the End
34,74,Oblivion
34,32,Oblivion
34,98,Oblivion
34,53,Oblivion
34,69,Oblivion
35,47,Olympus Has Fallen
35,51,Olympus Has Fallen
35,101,Olympus Has Fallen
35,59,Olympus Has Fallen
35,81,White House Down
36,100,The Other Son
36,51,The Other Son
36,4,The Other Son
36,96,The Other Son
36,59,The Other Son
37,96,Upside Down
37,101,Upside Down
37,53,Upside Down
37,65,Upside Down
37,6,Upside Down
38,65,"Tomorrow, when the War Began"
38,83,"Tomorrow, when the War Began"
38,73,"Tomorrow, when the War Began"
38,59,"Tomorrow, when the War Began"
38,24,"Tomorrow, when the War Began"
39,97,Battleship
39,53,Battleship
39,98,Battleship
39,51,Battleship
39,6,Battleship
40,92,Zero Dark Thirty
40,17,Zero Dark Thirty
40,73,Zero Dark Thirty
40,96,Zero Dark Thirty
40,76,Seal Team Six: The Raid on Osama Bin Laden
41,60,Mirror Mirror
41,83,Mirror Mirror
41,69,Mirror Mirror
42,52,La vita è meravigliosa
42,92,The Girl
42,58,The Girl
42,69,The Girl
42,50,The Girl
43,92,Quartet
43,83,Quartet
43,76,Quartet
43,54,A Late Quartet
43,34,Quartet
44,96,Extraterrestrial
44,83,Extraterrestrial
44,74,Extraterrestrial
44,6,Extraterrestrial
44,58,Extraterrestrial
45,37,The Raid
45,93,The Raid
45,32,The Raid
45,31,The Raid
45,54,The Raid
46,28,No Strings Attached
46,31,No Strings Attached
46,93,No Strings Attached
46,32,No Strings Attached
46,60,No Strings Attached
47,6,Skyline
47,24,Skyline
47,4,Skyline
47,93,Skyline
47,32,Skyline
48,61,Despicable Me
48,89,Despicable Me
48,8,Despicable Me
48,12,Despicable Me
48,58,Despicable Me
49,41,The A-Team
49,27,The A-Team
49,95,The A-Team
49,88,The A-Team
49,32,The A-Team
50,52,Skate Kitchen
50,15,Skate Kitchen
50,91,Skate Kitchen
50,98,Mid90s
50,23,Mid90s
51,91,Ben is Back
51,84,Ben is Back
51,66,Ben is Back
51,23,Ben is Back
51,25,Ben is Back
52,23,The Happytime Murders
52,66,The Happytime Murders
52,25,The Happytime Murders
52,35,The Happytime Murders
52,18,The Happytime Murders
53,42,Abominable
53,35,Abominable
53,100,Abominable
53,23,Abominable
53,98,Smallfoot
54,66,Venom
54,20,Venom
54,35,Venom
54,74,Venom
54,93,Venom
55,100,Swimming with Men
55,21,Swimming with Men
55,25,Swimming with Men
55,98,Sink or Swim
55,71,Swimming with Men
56,61,Alex Strangelove
56,98,Alex Strangelove
56,8,Alex Strangelove
56,15,Alex Strangelove
56,35,Alex Strangelove
57,47,Crowhurst
57,15,Crowhurst
57,23,Crowhurst
57,20,The Mercy
57,25,The Mercy
58,100,Girls Trip
58,15,Girls Trip
58,89,Girls Trip
58,40,Girls Trip
58,98,Girls Trip
59,27,Dunkirk
59,73,Dunkirk
59,40,Dunkirk
59,60,Dunkirk
59,10,Dunkirk
60,3,Darkest Hour
60,98,Darkest Hour
60,15,Darkest Hour
60,25,Darkest Hour
60,91,Darkest Hour
61,100,The Man with the Iron Heart
61,40,The Man with the Iron Heart
61,15,The Man with the Iron Heart
61,27,Quasi amici - Intouchables
61,46,The Man with the Iron Heart
62,71,Mowgli: Legend of the Jungle
62,66,Mowgli: Legend of the Jungle
62,51,The Jungle Book
62,35,Mowgli: Legend of the Jungle
62,74,Mowgli: Legend of the Jungle
63,47,Captain America: Civil War
63,77,Captain America: Civil War
63,35,Captain America: Civil War
63,100,Captain America: Civil War
63,74,Captain America: Civil War
64,71,Sing
64,98,Sing
64,35,Sing
64,40,Sing
64,34,Sing
65,30,The Glass Castle
65,49,The Glass Castle
65,100,The Glass Castle
65,77,The Glass Castle
65,68,The Glass Castle
66,100,Christine
66,96,Kate Plays Christine
66,63,Christine
66,13,Christine
66,66,Kate Plays Christine
67,78,The Hollars
67,66,The Hollars
67,13,The Hollars
67,3,The Hollars
67,100,The Hollars
68,93,Rebel in the Rye
68,35,Rebel in the Rye
68,63,Rebel in the Rye
68,13,Rebel in the Rye
68,98,Rebel in the Rye
69,77,Scouts Guide to the Zombie Apocalypse
69,73,Scouts Guide to the Zombie Apocalypse
69,66,Scouts Guide to the Zombie Apocalypse
69,63,Scouts Guide to the Zombie Apocalypse
69,4,Scouts Guide to the Zombie Apocalypse
70,74,Mission: Impossible – Rogue Nation
70,19,Mission: Impossible – Rogue Nation
70,99,Mission: Impossible – Rogue Nation
70,91,Mission: Impossible – Rogue Nation
70,22,Mission: Impossible – Rogue Nation
71,50,The Martian
71,96,Approaching the Unknown
71,19,Approaching the Unknown
71,60,Approaching the Unknown
71,99,Approaching the Unknown
72,4,Florence Foster Jenkins
72,27,American Beauty
72,40,Florence Foster Jenkins
72,96,Florence Foster Jenkins
72,22,Florence Foster Jenkins
73,40,Every Day
73,74,Every Day
73,4,Every Day
73,19,Every Day
73,34,Every Day
74,89,Operation Avalanche
74,46,Operation Avalanche
74,60,Operation Avalanche
74,27,Moonwalkers
75,33,The People vs. Fritz Bauer
75,89,The People vs. Fritz Bauer
75,61,LA Confidential
75,0,The People vs. Fritz Bauer
75,101,LA Confidential
76,11,Friend Request
76,62,Friend Request
76,19,Friend Request
76,39,Friend Request
76,33,Friend Request
77,24,August: Osage County
77,89,August: Osage County
77,60,August: Osage County
77,101,August: Osage County
77,44,August: Osage County
78,19,Burying the Ex
78,86,Burying the Ex
78,74,Burying the Ex
78,60,Burying the Ex
78,10,Burying the Ex
79,5,John Wick
79,77,John Wick
79,22,John Wick
79,10,John Wick
79,15,John Wick
80,10,The Legend of Hercules
80,4,The Legend of Hercules
80,97,The Legend of Hercules
80,1,Hercules
81,60,Automata
81,19,Automata
81,15,Automata
