question_ID,worker_ID,answer
0,42,Artichokes
0,78,Artichokes
0,125,Artichokes
0,41,Artichokes
0,79,Artichokes
1,75,Dates
1,30,Prunes
1,47,Dates
1,1,Dates
1,118,Dates
2,93,Ravioli
2,41,Momos
2,122,Momos
2,78,Momos
2,75,Momos
3,12,Cupcake
3,1,Muffin
3,32,Cupcake
3,125,Cupcake
3,118,Cupcake
4,66,Apple
4,109,Peaches
4,93,Peaches
4,47,Peaches
4,41,Peaches
5,9,Pancake
5,39,Pancake
5,99,Pancake
5,32,Pancake
5,118,Pancake
6,75,Soybeans
6,105,Soybeans
6,2,Pea
6,78,Soybeans
6,16,Chickpeas
7,99,Spaghetti
7,90,Noodles
7,95,Noodles
7,61,Spaghetti
7,105,Noodles
8,118,Yams
8,100,Sweet Potatoes
8,90,Sweet Potatoes
8,43,Sweet Potatoes
8,19,Sweet Potatoes
9,64,Zucchini
9,37,Cucumber
9,61,Cucumber
9,89,Zucchini
9,19,Zucchini
10,112,Cardoons
10,32,Artichokes
10,118,Cardoons
10,32,Artichokes
10,75,Cardoons
11,10,Prunes
11,97,Prunes
11,114,Dates
11,61,Dates
11,109,Dates
12,126,Ravioli
12,96,Ravioli
12,42,Ravioli
12,123,Ravioli
12,52,Ravioli
13,126,Cupcake
13,52,Cupcake
13,42,Cupcake
13,40,Cupcake
13,96,Cupcake
14,76,Peaches
14,102,Peaches
14,80,Peaches
14,32,Apricot
14,1,Peaches
15,61,Crêpe
15,113,Pancake
15,14,Crêpe
15,11,Crêpe
15,120,Crêpe
16,18,Chickpeas
16,43,Chickpeas
16,118,Nut
16,81,Peanut
16,18,Nut
17,61,Spaghetti
17,108,Spaghetti
17,18,Spaghetti
17,23,Spaghetti
17,19,Spaghetti
18,32,Sweet Potatoes
18,61,Sweet Potatoes
18,5,Yams
18,43,Yams
18,101,Yams
19,32,Zucchini
19,113,Cucumber
19,1,Cucumber
19,15,Cucumber
19,18,Cucumber
20,87,Artichokes
20,56,Artichokes
20,13,Artichokes
20,67,Artichokes
20,86,Artichokes
21,72,Dates
21,7,Dates
21,115,Dates
21,78,Prunes
21,60,Dates
22,130,Momos
22,20,Momos
22,34,Momos
22,26,Ravioli
22,88,Momos
23,116,Cupcake
23,88,Twinkies
23,128,Muffin
23,62,Muffin
23,51,Muffin
24,5,Peaches
24,49,Peaches
24,71,Nectarines
24,78,Nectarines
24,57,Peaches
25,58,Pancake
25,69,Pancake
25,86,Pancake
25,67,Crêpe
25,87,Pancake
26,129,Soybeans
26,127,Soybeans
26,45,Soybeans
26,31,Soybeans
26,26,Soybeans
27,92,Spaghetti
27,70,Spaghetti
27,60,Spaghetti
27,7,Spaghetti
27,22,Spaghetti
28,38,Sweet Potatoes
28,44,Sweet Potatoes
28,50,Sweet Potatoes
28,73,Sweet Potatoes
28,74,Sweet Potatoes
29,26,Zucchini
29,31,Zucchini
29,63,Zucchini
29,49,Zucchini
29,36,Zucchini
30,13,Baklava
