question_ID,worker_ID,answer
0,6,2
0,6,2
0,6,2
0,7,2
0,15,3
0,17,3
0,2,0
0,1,2
0,1,3
0,13,2
0,15,2
1,6,3
1,6,3
1,6,3
1,7,2
1,15,3
1,17,3
1,3,0
1,2,0
1,1,2
1,10,0
1,8,0
1,2,0
1,3,0
1,8,0
1,15,0
2,6,2
2,6,2
2,7,2
2,15,0
2,17,3
2,3,0
2,2,0
2,10,0
2,8,0
3,6,0
3,6,0
3,6,0
3,7,0
3,17,3
3,3,1
3,2,0
3,1,0
3,10,0
4,6,1
4,6,1
4,6,1
4,16,1
4,14,1
4,1,1
4,2,1
4,7,1
4,15,1
4,3,1
4,8,1
5,6,1
5,6,1
5,6,1
5,16,1
5,14,0
5,1,1
5,2,1
5,7,0
5,15,1
5,3,1
6,6,0
6,6,0
6,6,0
6,16,0
6,14,2
6,1,0
6,2,0
6,7,0
6,15,0
6,3,0
6,8,0
7,6,2
7,6,2
7,6,2
7,16,2
7,14,3
7,1,2
7,2,2
7,7,2
7,15,2
7,3,2
7,8,2
8,3,1
8,3,1
8,3,1
8,4,1
8,19,1
8,1,1
8,7,1
8,2,1
8,23,1
8,8,1
8,6,1
9,3,0
9,3,0
9,3,0
9,4,0
9,19,0
9,1,0
9,7,0
9,2,0
9,23,0
9,8,2
9,6,0
10,4,0
10,4,0
10,4,0
10,19,0
10,1,0
10,7,0
10,2,0
10,23,2
10,8,0
10,6,0
11,3,0
11,3,0
11,3,0
11,4,0
11,19,0
11,1,0
11,7,0
11,2,0
11,23,3
11,8,0
11,6,3
12,2,0
12,2,0
12,2,0
12,4,0
12,8,0
12,1,0
12,7,0
12,3,0
12,6,3
12,15,3
12,12,0
12,3,0
12,8,0
12,13,3
12,15,0
12,16,0
12,0,0
12,3,0
13,2,1
13,2,1
13,2,1
13,4,1
13,8,1
13,1,1
13,7,1
13,3,1
13,6,1
13,15,1
13,12,1
14,2,0
14,2,0
14,2,0
14,4,0
14,8,0
14,1,0
14,7,0
14,3,0
14,6,0
14,15,2
14,12,0
15,2,0
15,2,0
15,2,0
15,4,0
15,8,1
15,1,0
15,3,0
15,15,2
15,12,0
15,2,0
15,8,0
16,13,3
16,13,3
16,13,3
16,2,0
16,6,2
16,14,0
16,8,2
16,7,2
16,1,2
16,3,2
17,13,2
17,13,2
17,13,2
17,6,1
17,14,2
17,7,3
17,1,2
17,3,1
17,5,2
17,6,2
18,13,2
18,13,2
18,13,2
18,6,2
18,14,2
18,7,3
18,1,2
18,17,2
19,13,0
19,13,0
19,13,0
19,2,0
19,6,0
19,14,1
19,8,3
19,7,0
19,4,0
19,1,2
19,3,0
20,4,3
20,4,3
20,4,3
20,7,3
20,3,3
20,15,3
20,1,3
20,6,3
20,8,3
20,2,3
20,13,3
20,13,3
20,15,3
21,4,0
21,4,0
21,4,0
21,7,2
21,3,0
21,15,0
21,1,0
21,6,0
21,8,0
21,2,0
21,13,0
21,1,0
21,2,0
21,3,0
22,4,1
22,4,1
22,4,1
22,7,1
22,3,1
22,15,1
22,1,1
22,6,1
22,8,1
22,2,1
22,13,1
23,4,0
23,4,0
23,7,2
23,3,2
23,15,0
23,1,2
23,6,2
23,8,2
23,13,2
23,7,2
24,8,1
24,8,1
24,8,1
24,6,1
24,4,1
24,15,1
24,7,1
24,3,1
24,2,1
24,1,1
24,13,1
25,8,0
25,8,0
25,8,0
25,6,3
25,4,3
25,15,0
25,7,0
25,3,0
25,2,0
25,1,0
25,13,0
26,8,2
26,8,2
26,8,2
26,6,2
26,4,2
26,15,2
26,7,2
26,3,2
26,2,2
26,1,2
26,13,2
26,15,2
27,8,3
27,8,3
27,8,3
27,6,3
27,4,3
27,15,3
27,7,3
27,3,0
27,2,3
27,1,3
27,13,3
27,1,2
27,15,3
28,19,2
28,19,2
28,19,2
28,3,2
28,9,0
28,8,2
28,6,2
28,1,2
28,2,2
28,7,3
28,7,2
29,19,1
29,19,1
29,19,1
29,13,1
29,3,1
29,9,1
29,8,1
29,6,1
29,1,1
29,2,1
29,7,1
30,19,0
30,19,0
30,19,0
30,13,0
30,3,0
30,9,0
30,8,0
30,6,0
30,1,0
30,2,0
30,7,3
31,19,3
31,19,3
31,19,3
31,13,3
31,3,3
31,9,3
31,8,3
31,6,3
31,1,3
31,2,3
31,7,3
31,3,3
31,16,3
31,13,3
32,8,1
32,8,1
32,8,1
32,15,1
32,7,3
32,1,1
32,6,1
33,8,1
33,8,1
33,8,1
33,15,1
33,7,3
33,1,1
33,6,1
33,4,0
34,8,0
34,8,0
34,8,0
34,15,1
34,7,3
34,3,0
34,16,0
34,6,0
34,2,0
34,4,0
35,8,3
35,8,3
35,15,1
35,7,0
35,3,0
35,16,2
35,1,0
35,6,3
35,2,0
35,4,0
36,2,0
36,2,0
36,2,0
36,7,1
36,3,1
36,6,0
36,13,1
36,8,1
36,15,1
36,1,1
37,2,1
37,2,1
37,2,1
37,7,1
37,3,1
37,14,1
37,6,1
37,13,1
37,8,1
37,15,1
37,1,1
38,2,0
38,2,0
38,2,0
38,7,0
38,3,0
38,14,2
38,6,3
38,13,0
38,8,0
38,15,0
38,1,0
39,2,0
39,2,0
39,2,0
39,7,0
39,3,0
39,8,0
39,15,0
39,1,0
40,8,2
40,8,2
40,8,2
40,7,2
40,6,2
40,13,3
40,1,2
40,24,2
40,2,0
41,8,1
41,8,1
41,8,1
41,7,1
41,6,1
41,13,2
41,16,1
41,1,1
41,24,1
41,3,0
41,2,1
42,8,3
42,8,3
42,8,3
42,7,3
42,6,3
42,13,3
42,16,3
42,1,3
42,3,3
42,17,3
42,6,3
42,15,3
43,8,2
43,8,2
43,8,2
43,7,3
43,13,2
43,16,2
43,1,3
43,3,0
44,6,3
44,6,3
44,13,2
44,3,2
44,1,0
44,15,2
44,7,2
44,2,0
44,8,2
44,0,2
44,13,2
44,8,2
44,17,2
45,6,2
45,6,2
45,6,2
45,13,3
45,3,0
45,1,0
45,15,1
45,7,0
45,2,0
45,8,0
45,4,0
46,6,2
46,6,2
46,6,2
46,13,2
46,1,3
46,15,2
46,2,2
46,8,3
46,4,2
46,0,2
46,1,2
46,3,2
46,7,2
47,13,2
47,13,2
47,3,1
47,1,1
47,15,1
47,7,2
47,2,1
47,8,1
47,4,0
47,8,1
47,22,1
48,15,1
48,15,1
48,15,1
48,7,1
48,8,1
48,6,1
48,13,1
48,1,1
48,3,1
48,23,1
48,2,0
49,15,1
49,15,1
49,15,1
49,7,0
49,8,0
49,6,0
49,13,0
49,1,1
49,3,0
49,23,3
49,2,0
49,8,0
49,2,0
50,15,2
50,15,2
50,15,2
50,7,3
50,8,0
50,6,3
50,13,3
50,1,0
50,3,0
50,23,0
50,2,0
51,15,1
51,15,1
51,15,1
51,8,1
51,6,1
51,3,1
51,23,1
51,2,2
51,1,1
52,7,0
52,7,0
52,7,0
52,17,0
52,2,0
52,22,1
52,6,0
52,3,0
52,1,1
52,4,0
53,7,3
53,7,3
53,7,3
