question_ID,worker_ID,answer
0,26,Artichokes
0,36,Artichokes
0,105,Artichokes
0,132,Artichokes
0,26,Artichokes
1,14,Dates
1,81,Dates
1,15,Fennel
1,26,Prunes
1,67,Prunes
2,130,Momos
2,83,Momos
2,113,Key lime pie
2,37,Momos
3,35,Muffin
3,45,Cupcake
3,37,Cupcake
3,50,Cupcake
3,51,Cupcake
4,37,Peaches
4,15,Peaches
4,122,Peaches
4,38,Peaches
4,100,Peaches
5,72,Pancake
5,104,Pancake
5,39,Pancake
5,85,Pancake
5,18,Crêpe
6,45,Nut
6,125,Soybeans
6,81,Soybeans
6,122,Soybeans
6,62,Soybeans
7,8,Spaghetti
7,80,Spaghetti
7,18,Spaghetti
7,104,Spaghetti
8,35,Sweet Potatoes
8,66,Sweet Potatoes
8,45,Sweet Potatoes
8,18,Yams
8,62,Sweet Potatoes
9,96,Zucchini
9,137,Zucchini
9,58,Cucumber
9,120,Zucchini
10,29,Artichokes
10,125,Cardoons
10,133,Artichokes
10,75,Cardoons
10,57,Avocado
11,26,Prunes
11,82,Prunes
11,98,Prunes
11,1,Prunes
11,44,Prunes
12,38,Ravioli
12,133,Ravioli
12,117,Ravioli
12,29,Momos
12,125,Ravioli
12,23,Ravioli
13,9,Cupcake
13,75,Key lime pie
13,50,Cupcake
13,1,Muffin
13,100,Muffin
14,75,Peaches
14,46,Peaches
14,82,Peaches
14,87,Peaches
14,102,Peaches
15,28,Crêpe
15,4,Crêpe
15,26,Crêpe
15,57,Crêpe
15,106,Pancake
16,116,Chickpeas
16,88,Peanut
16,128,Chickpeas
16,112,Chickpeas
16,8,Chickpeas
17,21,Spaghetti
17,39,Spaghetti
17,26,Spaghetti
17,11,Noodles
17,136,Spaghetti
17,45,Spaghetti
18,81,Yams
18,11,Yams
18,118,Yams
18,23,Yams
18,128,Yams
19,60,Cucumber
19,12,Cucumber
19,116,Cucumber
19,72,Cucumber
19,87,Cucumber
19,66,Cucumber
20,68,Artichokes
20,52,Artichokes
20,55,Artichokes
20,93,Artichokes
20,69,Artichokes
20,121,Artichokes
21,73,Dates
21,77,Dates
21,99,Prunes
21,119,Dates
22,13,Momos
22,93,Momos
22,16,Momos
22,86,Momos
23,63,Muffin
23,24,Muffin
23,33,Muffin
23,95,Twinkies
23,135,Muffin
24,4,Peaches
24,78,Apple
24,84,Nectarines
24,49,Apple
24,76,Nectarines
25,93,Pancake
25,94,Pancake
25,71,Pancake
25,10,Pancake
25,59,Pancake
26,42,Soybeans
26,137,Soybeans
26,40,Soybeans
26,134,Soybeans
26,86,Soybeans
27,78,Spaghetti
