question_ID,worker_ID,answer
0,17,Artichokes
0,115,Artichokes
0,96,Artichokes
0,119,Artichokes
0,67,Artichokes
1,28,Dates
1,53,Prunes
1,47,Dates
1,80,Dates
1,64,Dates
2,28,Momos
2,30,Momos
2,53,Momos
2,115,Momos
2,104,Momos
3,28,Cupcake
3,53,Cupcake
3,79,Cupcake
3,109,Cupcake
3,11,Cupcake
4,53,Nectarines
4,82,Peaches
4,78,Peaches
4,16,Apple
4,119,Peaches
5,72,Pancake
5,28,Crêpe
5,30,Pancake
5,106,Pancake
5,92,Pancake
6,9,Chickpeas
6,72,Soybeans
6,2,Pea
6,30,Soybeans
6,78,Soybeans
6,64,Soybeans
6,26,Soybeans
7,28,Spaghetti
7,72,Spaghetti
7,64,Spaghetti
7,59,Spaghetti
7,25,Spaghetti
8,9,Yams
8,40,Sweet Potatoes
8,81,Sweet Potatoes
8,28,Sweet Potatoes
8,69,Sweet Potatoes
9,64,Cucumber
9,47,Cucumber
9,44,Cucumber
9,38,Zucchini
9,23,Zucchini
10,101,Cardoons
10,28,Cardoons
10,78,Cardoons
10,33,Cardoons
10,100,Cardoons
10,55,Cardoons
11,37,Prunes
11,101,Prunes
11,109,Dates
11,1,Prunes
11,103,Prunes
11,80,Prunes
11,76,Prunes
12,30,Momos
12,101,Ravioli
12,109,Key lime pie
12,39,Ravioli
12,112,Ravioli
12,90,Ravioli
13,39,Cupcake
13,122,Cupcake
13,124,Cupcake
13,113,Cupcake
13,51,Cupcake
14,94,Peaches
14,28,Peaches
14,54,Peaches
14,59,Apricot
14,127,Peaches
15,99,Crêpe
15,127,Pancake
15,78,Crêpe
15,53,Crêpe
15,10,Crêpe
15,108,Crêpe
15,120,Crêpe
15,97,Crêpe
16,127,Chickpeas
16,32,Nut
16,112,Chickpeas
16,84,Peanut
16,0,Chickpeas
17,113,Spaghetti
17,78,Noodles
17,30,Spaghetti
17,16,Spaghetti
17,127,Spaghetti
18,16,Sweet Potatoes
18,117,Yams
18,103,Yams
18,113,Yams
18,98,Yams
19,32,Cucumber
19,109,Cucumber
19,122,Cucumber
19,61,Cucumber
19,14,Cucumber
20,126,Artichokes
20,12,Artichokes
20,90,Artichokes
20,34,Artichokes
20,57,Artichokes
20,83,Artichokes
20,125,Artichokes
21,114,Dates
21,36,Dates
21,7,Dates
22,91,Momos
22,18,Momos
22,33,Momos
22,89,Momos
22,65,Ravioli
22,15,Momos
