question_ID,worker_ID,answer
0,36,Belgium
0,131,Belgium
0,169,Belgium
0,90,Belgium
0,149,Belgium
1,90,Costa rica
1,150,Costa rica
1,110,Costa rica
1,68,Costa rica
1,36,Thailand
2,110,Denmark
2,90,Denmark
2,68,Denmark
2,108,Switzerland
2,36,Denmark
3,54,Haiti
3,110,Haiti
3,2,Haiti
3,69,Haiti
3,90,Haiti
4,35,Hungary
4,151,Hungary
4,19,Hungary
4,26,Hungary
4,20,Hungary
5,49,Monaco
5,55,Monaco
5,4,Monaco
5,110,Indonesia
5,136,Monaco
6,57,Ivory coast
6,127,Ivory coast
6,17,Ivory coast
6,47,Ivory coast
6,16,Ireland
7,127,Moldova
7,47,Romania
7,28,Romania
7,42,Romania
7,110,Moldova
8,60,New zealand
8,91,Australia
8,135,New zealand
8,19,New zealand
8,124,New zealand
9,131,Norway
9,169,Norway
9,135,Norway
9,165,Norway
9,110,Norway
10,36,Paraguay
10,160,Paraguay
10,131,Paraguay
10,12,Paraguay
10,110,Paraguay
11,91,Mali
11,12,Senegal
11,121,Senegal
11,36,Senegal
11,131,Senegal
12,56,Slovenia
12,49,Slovenia
12,61,Slovenia
12,151,Slovenia
12,53,Slovenia
13,147,Azerbaijan
13,61,Azerbaijan
13,42,Azerbaijan
13,124,Azerbaijan
13,151,Azerbaijan
14,147,Malta
14,171,Malta
14,53,Malta
14,96,Malta
14,37,Malta
15,49,Latvia
15,171,Latvia
15,131,Latvia
15,106,Latvia
15,146,Latvia
16,150,Mexico
16,116,Mexico
16,43,Mexico
16,149,Mexico
16,79,Mexico
17,3,Brazil
17,149,Brazil
17,107,Brazil
17,24,Brazil
17,29,Brazil
18,36,Kazakhstan
18,79,Kazakhstan
18,41,Kazakhstan
18,149,Kazakhstan
19,36,Usa
19,97,Usa
19,3,Usa
19,116,Usa
19,17,Usa
20,17,Greenland
20,61,Greenland
20,21,Greenland
20,102,Greenland
20,91,Greenland
21,21,Israel
21,128,Israel
21,122,Israel
21,4,Israel
21,54,Israel
22,4,Aruba
22,21,Aruba
22,90,Aruba
22,61,Aruba
22,17,Aruba
23,21,Guatemala
23,17,Guatemala
23,47,Guatemala
23,33,Guatemala
23,168,Guatemala
24,60,Egypt
24,45,Egypt
24,32,Egypt
24,108,Egypt
24,35,Egypt
25,12,Bolivia
25,109,Bolivia
25,0,Bolivia
25,32,Bolivia
25,108,Bolivia
26,109,Nigeria
26,167,Nigeria
26,175,Nigeria
26,15,Nigeria
26,32,Nigeria
27,66,Colombia
27,45,Colombia
27,125,Colombia
27,62,Colombia
27,130,Colombia
28,157,Korea
28,124,Korea
28,165,Korea
28,150,Korea
28,25,Korea
29,157,Armenia
29,158,Armenia
29,124,Armenia
29,165,Armenia
29,63,Armenia
30,11,Germany
30,77,Germany
30,99,Germany
30,88,Germany
30,55,Germany
31,124,Thailand
31,157,Thailand
31,88,Thailand
31,11,Thailand
31,35,Thailand
32,9,Switzerland
32,3,Switzerland
32,88,Switzerland
32,139,Switzerland
32,35,Switzerland
33,77,Liechtenstein
33,152,Liechtenstein
33,157,Liechtenstein
33,11,Liechtenstein
33,124,Liechtenstein
34,179,Italy
34,177,Italy
34,77,Italy
34,134,Italy
34,11,Italy
35,7,Indonesia
35,77,Indonesia
35,134,Indonesia
35,177,Monaco
35,127,Indonesia
36,175,Ivory coast
36,157,Ivory coast
36,11,Ivory coast
36,13,Ireland
36,177,Ireland
37,177,Romania
37,97,Romania
37,102,Romania
37,175,Romania
37,13,Romania
38,140,Australia
38,64,Australia
38,44,Australia
38,163,Australia
38,118,New zealand
39,115,Iceland
39,64,Iceland
39,48,Iceland
39,65,Iceland
39,44,Iceland
40,140,Croatia
40,152,Croatia
40,44,Croatia
40,175,Croatia
40,177,Croatia
41,173,Mali
41,95,Mali
41,178,Senegal
41,99,Mali
41,150,Mali
42,58,Russia
42,100,Russia
42,156,Russia
42,177,Russia
42,4,Russia
43,56,Greece
43,52,Greece
43,58,Greece
43,27,Greece
43,80,Greece
44,139,United kingdom
44,177,United kingdom
44,97,United kingdom
44,153,United kingdom
44,88,United kingdom
45,4,India
45,170,India
45,153,India
45,93,India
45,100,India
46,113,Canada
46,177,Canada
46,155,Canada
46,100,Canada
46,3,Canada
47,35,Cuba
47,93,Cuba
47,31,Cuba
47,175,Cuba
47,113,Cuba
48,35,Turkey
48,128,Turkey
48,52,Turkey
48,31,Turkey
48,113,Turkey
48,10,Kazakhstan
49,93,Maldives
49,100,Maldives
49,3,Maldives
49,128,Maldives
49,31,Maldives
50,170,Dominica
50,88,Dominica
50,99,Dominica
50,145,Dominica
50,75,Dominica
51,86,Finland
51,76,Finland
51,18,Finland
51,121,Finland
51,163,Finland
52,40,Georgia republic
52,14,Georgia republic
52,139,Georgia republic
52,145,Georgia republic
52,172,Georgia republic
53,139,Catalonia
53,172,Catalonia
53,170,Catalonia
53,18,Catalonia
53,133,Catalonia
54,89,Japan
54,65,Japan
54,24,Japan
54,69,Japan
54,152,Japan
55,113,Jamaica
55,82,Jamaica
55,7,Jamaica
55,163,Jamaica
55,39,Jamaica
56,16,Philippines
56,163,Philippines
56,100,Philippines
56,102,Philippines
56,113,Philippines
57,7,France
57,65,France
57,115,France
57,163,France
57,121,France
58,78,Estonia
58,76,Estonia
58,69,Estonia
58,116,Estonia
58,128,Estonia
59,103,China
59,134,China
59,78,China
59,128,China
59,101,China
60,94,Costa rica
60,46,Costa rica
60,29,Costa rica
60,112,Costa rica
60,137,Costa rica
60,138,Costa rica
61,59,Denmark
61,161,Denmark
61,35,Denmark
61,123,Denmark
61,138,Denmark
62,120,Haiti
62,148,Haiti
62,154,Haiti
62,30,Haiti
62,92,Cocos islands
62,119,Haiti
63,174,Hungary
63,144,Hungary
63,74,Hungary
63,5,Hungary
63,166,Hungary
64,29,Indonesia
64,5,Indonesia
64,74,Monaco
64,144,Indonesia
64,6,Indonesia
64,164,Indonesia
65,126,Ireland
65,173,Ireland
65,70,Ireland
65,87,Ireland
65,94,Ireland
65,70,Ireland
66,123,Falkland islands (malvinas)
66,51,Romania
66,71,Moldova
66,162,Moldova
67,118,New zealand
67,117,New zealand
67,137,New zealand
67,141,New zealand
67,142,New zealand
67,88,New zealand
68,141,Paraguay
68,59,Paraguay
68,51,Croatia
68,138,Paraguay
68,162,Paraguay
69,94,Senegal
69,46,Senegal
69,112,Senegal
69,137,Senegal
69,87,Cayman islands
70,8,Costa rica
70,141,Costa rica
70,117,Sri lanka
70,34,Costa rica
70,138,Costa rica
70,123,Costa rica
70,92,Costa rica
71,67,Denmark
71,73,Denmark
71,38,Denmark
71,104,Denmark
72,161,Haiti
72,35,Haiti
72,38,Haiti
72,123,Papua new guinea
72,180,Haiti
73,71,Hungary
73,141,Hungary
73,123,Hungary
73,138,Hungary
73,51,Hungary
74,176,Indonesia
74,104,Indonesia
74,67,Indonesia
74,132,Indonesia
75,74,Ireland
75,174,Ireland
75,166,Ivory coast
75,144,Ireland
76,26,Moldova
76,81,Moldova
76,67,Moldova
76,137,Moldova
76,123,Romania
77,161,Australia
77,67,New zealand
77,73,New zealand
77,114,New zealand
77,132,New zealand
78,111,Paraguay
78,135,Paraguay
78,51,Paraguay
78,100,Paraguay
78,129,Paraguay
79,126,Senegal
79,87,Tanzania
79,112,Senegal
79,46,Senegal
79,34,Senegal
79,118,Senegal
80,85,Thailand
80,59,Thailand
80,180,Thailand
80,35,Thailand
81,129,Switzerland
81,51,Switzerland
81,87,Switzerland
81,46,Switzerland
81,111,Switzerland
82,84,Liechtenstein
82,164,Liechtenstein
82,118,Liechtenstein
82,70,Liechtenstein
83,141,Italy
83,35,Italy
83,38,Italy
83,59,Italy
83,8,Italy
84,141,Monaco
84,137,Monaco
84,34,Monaco
84,30,Monaco
85,119,Ireland
85,88,Ivory coast
85,164,Ivory coast
85,35,Ireland
86,50,Romania
86,85,Romania
86,81,Romania
86,92,Romania
86,23,Romania
86,98,Romania
87,70,Australia
87,161,Australia
87,35,Australia
87,119,New zealand
88,6,Eritrea
88,74,Djibouti
88,144,Eritrea
88,174,Eritrea
88,83,Eritrea
89,100,Norfolk island
89,72,Norfolk island
89,38,Senegal
89,129,Mali
89,111,Tajikistan
90,67,Thailand
90,137,Thailand
90,50,Thailand
91,120,Switzerland
91,148,Switzerland
91,105,Switzerland
91,51,Switzerland
91,30,Switzerland
91,132,Switzerland
92,73,Liechtenstein
92,87,Liechtenstein
92,22,Liechtenstein
92,51,Liechtenstein
92,129,Liechtenstein
93,8,Italy
93,51,Italy
93,1,Italy
93,98,Italy
93,59,Italy
94,159,Indonesia
94,120,Monaco
94,154,Monaco
94,51,Monaco
94,105,Monaco
94,161,Monaco
95,26,Ireland
95,92,Ireland
95,132,Ireland
95,81,Ireland
95,50,Ireland
95,29,Ireland
96,143,Romania
96,120,Romania
96,51,Romania
96,148,Romania
96,30,Romania
97,163,Australia
97,38,Australia
97,70,Australia
97,104,Australia
97,161,Australia
98,84,Croatia
98,88,Croatia
98,118,Croatia
98,119,Croatia
98,70,Croatia
99,30,Mali
99,137,Mali
99,8,Mali
99,173,Mali
