question_ID,worker_ID,answer
0,8,Skate Kitchen
0,16,Skate Kitchen
0,26,Skate Kitchen
0,54,Skate Kitchen
0,17,Skate Kitchen
0,20,Skate Kitchen
1,26,Beautiful Boy
1,8,Beautiful Boy
1,56,Beautiful Boy
1,39,Beautiful Boy
1,16,Beautiful Boy
2,103,Puppet Master: The Littlest Reich
2,22,Puppet Master: The Littlest Reich
2,8,Puppet Master: The Littlest Reich
2,26,Puppet Master: The Littlest Reich
2,17,Puppet Master: The Littlest Reich
3,33,Smallfoot
3,49,Smallfoot
3,50,Smallfoot
3,2,Smallfoot
3,16,Smallfoot
4,20,Upgrade
4,91,Upgrade
4,103,Upgrade
4,45,Upgrade
4,86,Upgrade
5,103,Sink or Swim
5,24,Sink or Swim
5,3,Sink or Swim
5,27,Sink or Swim
5,16,Sink or Swim
6,89,"Love, Simon"
6,103,"Love, Simon"
6,94,"Love, Simon"
6,44,"Love, Simon"
6,24,"Love, Simon"
7,39,Crowhurst
7,43,Crowhurst
7,17,Crowhurst
7,40,Crowhurst
7,27,Crowhurst
7,43,Crowhurst
8,60,Rough Night
8,22,Rough Night
8,2,Rough Night
8,104,Rough Night
8,99,Rough Night
9,2,Darkest Hour
9,89,Darkest Hour
9,60,Darkest Hour
9,104,Darkest Hour
9,78,Darkest Hour
10,49,Churchill
10,78,Churchill
10,53,Churchill
10,22,Churchill
10,84,Churchill
11,39,Anthropoid
11,45,Anthropoid
11,53,Anthropoid
11,49,Anthropoid
11,78,Anthropoid
12,84,Mowgli: Legend of the Jungle
12,97,Mowgli: Legend of the Jungle
12,50,Mowgli: Legend of the Jungle
12,43,The Jungle Book
12,21,Mowgli: Legend of the Jungle
13,43,Batman v Superman: Dawn of Justice
13,8,Batman v Superman: Dawn of Justice
13,21,Batman v Superman: Dawn of Justice
13,50,Batman v Superman: Dawn of Justice
13,99,Batman v Superman: Dawn of Justice
14,24,Zootopia
14,97,Zootopia
14,58,Zootopia
14,45,Zootopia
14,99,Zootopia
15,33,Captain Fantastic
15,58,Captain Fantastic
15,86,Captain Fantastic
15,22,Captain Fantastic
15,50,Captain Fantastic
16,16,Christine
16,44,Christine
16,99,Christine
16,68,Christine
16,39,Christine
16,27,Christine
17,24,Other People
17,71,Other People
17,22,Other People
17,40,Other People
17,68,Other People
18,39,Coming Through the Rye
18,22,Coming Through the Rye
18,44,Coming Through the Rye
18,24,Coming Through the Rye
18,26,Coming Through the Rye
18,24,Coming Through the Rye
18,3,Coming Through the Rye
19,22,Freaks of Nature
19,82,Freaks of Nature
19,43,Freaks of Nature
19,53,Freaks of Nature
19,39,Freaks of Nature
20,58,Spectre
20,43,Spectre
20,99,Spectre
20,103,Spectre
20,94,Spectre
21,60,The Martian
21,86,The Martian
21,50,The Martian
21,89,The Martian
21,2,The Martian
22,60,Marguerite
22,4,Marguerite
22,100,Marguerite
22,58,Marguerite
22,50,Marguerite
23,56,The Beauty Inside
23,17,The Beauty Inside
23,84,The Beauty Inside
23,99,The Beauty Inside
23,3,The Beauty Inside
24,89,Moonwalkers
24,20,Moonwalkers
24,84,Moonwalkers
24,52,Moonwalkers
24,104,Moonwalkers
24,17,Moonwalkers
25,56,Labyrinth of Lies
25,52,Labyrinth of Lies
25,50,Labyrinth of Lies
25,7,Labyrinth of Lies
25,89,Labyrinth of Lies
25,17,Labyrinth of Lies
26,52,Unfriended
26,56,Unfriended
26,90,Friend Request
26,67,Unfriended
26,17,Unfriended
27,71,This Is Where I Leave You
27,52,This Is Where I Leave You
27,90,Oldboy
27,105,This Is Where I Leave You
27,100,This Is Where I Leave You
28,58,Life After Beth
28,50,Life After Beth
28,89,Life After Beth
28,105,Life After Beth
28,59,Life After Beth
29,104,The Equalizer
29,76,The Equalizer
29,58,The Equalizer
29,100,The Equalizer
29,67,The Equalizer
30,59,Hercules
30,28,Hercules
30,19,Hercules
30,21,Hercules
31,19,The Machine
31,67,The Machine
31,28,The Machine
31,35,The Machine
31,80,The Machine
32,90,The Double
32,38,The Double
32,104,The Double
32,19,The Double
32,6,The Double
33,104,This Is the End
33,56,This Is the End
33,53,3 Idiots
33,60,This Is the End
33,14,This Is the End
34,71,Oblivion
34,56,Oblivion
34,86,Oblivion
34,55,Oblivion
34,33,Oblivion
35,47,Olympus Has Fallen
35,80,Olympus Has Fallen
35,105,Olympus Has Fallen
35,56,Olympus Has Fallen
35,14,Olympus Has Fallen
36,4,The Other Son
36,104,The Other Son
36,80,The Other Son
36,59,The Other Son
36,60,The Other Son
37,59,Upside Down
37,60,Upside Down
37,14,Upside Down
37,104,Upside Down
37,106,Upside Down
38,52,"Tomorrow, when the War Began"
38,28,"Tomorrow, when the War Began"
38,90,"Tomorrow, when the War Began"
38,105,"Tomorrow, when the War Began"
38,55,"Tomorrow, when the War Began"
39,28,Battleship
39,90,Battleship
39,67,Battleship
39,105,Battleship
39,55,Battleship
40,61,Zero Dark Thirty
40,46,Zero Dark Thirty
40,36,Zero Dark Thirty
40,52,Zero Dark Thirty
40,4,Zero Dark Thirty
41,52,Mirror Mirror
41,38,Mirror Mirror
41,6,Mirror Mirror
41,92,Mirror Mirror
41,105,Mirror Mirror
42,59,The Girl
42,71,The Girl
42,76,The Girl
42,56,The Girl
42,61,The Girl
43,26,Quartet
43,99,Quartet
43,54,A Late Quartet
43,9,Quartet
43,25,Quartet
43,67,Quartet
44,1,Extraterrestrial
44,82,Extraterrestrial
44,31,Extraterrestrial
44,28,Extraterrestrial
44,4,Extraterrestrial
45,35,The Raid
45,61,The Raid
45,100,The Raid
45,72,The Raid
45,56,The Raid
46,59,No Strings Attached
46,76,No Strings Attached
46,86,No Strings Attached
46,31,No Strings Attached
46,28,No Strings Attached
47,36,Skyline
47,102,Skyline
47,28,Skyline
47,100,Skyline
47,77,Skyline
48,41,Despicable Me
48,38,Despicable Me
48,92,Despicable Me
48,63,Despicable Me
48,23,Despicable Me
49,41,The A-Team
49,30,The A-Team
49,8,The A-Team
49,74,The A-Team
49,55,The A-Team
49,33,The A-Team
50,98,Skate Kitchen
50,54,Skate Kitchen
50,80,Mid90s
50,105,Mid90s
51,11,Ben is Back
51,17,Ben is Back
51,38,Ben is Back
51,45,Ben is Back
51,75,Ben is Back
52,38,The Happytime Murders
52,20,The Happytime Murders
52,105,The Happytime Murders
52,93,The Happytime Murders
52,70,The Happytime Murders
53,34,Abominable
53,17,Smallfoot
53,30,Abominable
53,18,Abominable
53,70,Abominable
54,24,Venom
54,20,Venom
54,104,Venom
54,39,Venom
54,30,Venom
55,76,Swimming with Men
55,102,Swimming with Men
55,80,Swimming with Men
55,39,Swimming with Men
55,30,Sink or Swim
56,102,Alex Strangelove
56,24,Alex Strangelove
56,45,Alex Strangelove
56,80,Alex Strangelove
56,76,Alex Strangelove
57,24,The Mercy
57,105,The Mercy
57,79,The Mercy
57,100,The Mercy
58,68,Girls Trip
58,4,Girls Trip
58,39,Girls Trip
58,17,Girls Trip
58,24,Girls Trip
59,76,Dunkirk
59,12,Dunkirk
59,79,Dunkirk
59,4,Dunkirk
59,17,Dunkirk
60,26,Darkest Hour
60,4,Darkest Hour
60,46,Darkest Hour
60,68,Darkest Hour
60,3,Darkest Hour
61,3,The Man with the Iron Heart
61,43,The Man with the Iron Heart
61,24,The Man with the Iron Heart
61,68,The Man with the Iron Heart
61,104,The Man with the Iron Heart
62,51,Mowgli: Legend of the Jungle
62,76,Mowgli: Legend of the Jungle
62,26,Mowgli: Legend of the Jungle
62,10,Mowgli: Legend of the Jungle
62,102,Mowgli: Legend of the Jungle
63,104,Captain America: Civil War
63,70,Captain America: Civil War
63,87,Captain America: Civil War
63,4,Captain America: Civil War
63,39,Captain America: Civil War
64,38,Sing
64,26,Sing
64,104,Sing
64,33,Sing
64,105,Sing
65,38,The Glass Castle
65,39,The Glass Castle
65,86,The Glass Castle
65,51,The Glass Castle
65,26,The Glass Castle
66,84,Christine
66,3,Kate Plays Christine
66,105,Christine
66,15,Christine
67,15,The Hollars
67,39,The Hollars
67,93,The Hollars
67,105,The Hollars
67,104,The Hollars
68,11,Rebel in the Rye
68,100,Rebel in the Rye
68,104,Rebel in the Rye
69,84,Scouts Guide to the Zombie Apocalypse
69,27,Scouts Guide to the Zombie Apocalypse
69,43,Scouts Guide to the Zombie Apocalypse
69,24,Scouts Guide to the Zombie Apocalypse
69,104,Scouts Guide to the Zombie Apocalypse
70,52,Mission: Impossible – Rogue Nation
70,70,Mission: Impossible – Rogue Nation
70,102,Mission: Impossible – Rogue Nation
70,65,Mission: Impossible – Rogue Nation
70,38,Mission: Impossible – Rogue Nation
71,62,Approaching the Unknown
71,27,The Martian
71,29,Approaching the Unknown
71,46,Approaching the Unknown
71,61,Approaching the Unknown
72,29,Florence Foster Jenkins
72,102,Florence Foster Jenkins
72,27,Florence Foster Jenkins
72,4,Florence Foster Jenkins
72,98,Florence Foster Jenkins
73,102,Every Day
73,52,Every Day
73,62,Every Day
73,76,Every Day
73,22,Every Day
74,22,Operation Avalanche
74,48,Operation Avalanche
74,46,Operation Avalanche
74,54,Moonwalkers
75,22,The People vs. Fritz Bauer
75,51,The People vs. Fritz Bauer
75,106,LA Confidential
75,37,The People vs. Fritz Bauer
76,37,Friend Request
76,75,Friend Request
76,42,Friend Request
76,13,Friend Request
76,106,Friend Request
77,64,August: Osage County
77,51,August: Osage County
77,0,August: Osage County
77,28,August: Osage County
77,42,August: Osage County
78,80,Burying the Ex
78,61,Burying the Ex
78,12,Burying the Ex
78,86,Burying the Ex
78,85,Burying the Ex
79,61,John Wick
79,83,John Wick
79,3,John Wick
79,26,John Wick
79,85,John Wick
80,3,The Legend of Hercules
80,103,The Legend of Hercules
80,95,The Legend of Hercules
80,5,Hercules
80,93,The Legend of Hercules
80,89,The Legend of Hercules
81,98,Automata
81,22,Automata
81,61,Automata
81,5,Automata
81,88,Automata
82,10,Enemy
82,62,Enemy
82,26,Enemy
82,84,Enemy
82,51,Enemy
83,26,The World's End
83,89,The World's End
83,42,The World's End
83,61,The World's End
83,69,The World's End
84,32,After Earth
84,22,After Earth
84,11,After Earth
84,5,After Earth
84,42,After Earth
85,95,White House Down
85,73,White House Down
85,62,White House Down
85,84,White House Down
85,69,White House Down
86,60,"Like Father, Like Son"
86,84,"Like Father, Like Son"
86,103,"Like Father, Like Son"
86,85,"Like Father, Like Son"
86,100,"Like Father, Like Son"
87,85,Patema Inverted
87,93,Patema Inverted
87,96,Patema Inverted
87,27,Upside Down
87,22,Patema Inverted
88,38,Red Dawn
88,93,Red Dawn
88,3,Red Dawn
88,33,Red Dawn
88,85,Red Dawn
89,51,Pacific Rim
89,99,Pacific Rim
89,60,Pacific Rim
89,66,Pacific Rim
89,16,Pacific Rim
90,16,Seal Team Six: The Raid on Osama Bin Laden
90,75,Seal Team Six: The Raid on Osama Bin Laden
90,48,Seal Team Six: The Raid on Osama Bin Laden
90,70,Seal Team Six: The Raid on Osama Bin Laden
90,96,Seal Team Six: The Raid on Osama Bin Laden
91,67,Snow White and the Huntsman
91,13,Snow White and the Huntsman
91,10,Snow White and the Huntsman
91,48,Snow White and the Huntsman
91,33,Snow White and the Huntsman
92,62,Hitchcock
92,12,Hitchcock
92,16,Hitchcock
92,3,Hitchcock
92,95,Hitchcock
93,48,A Late Quartet
93,33,A Late Quartet
93,99,A Late Quartet
93,56,A Late Quartet
94,67,Seeking a Friend for the End of the World
94,96,Seeking a Friend for the End of the World
94,60,Seeking a Friend for the End of the World
94,16,Seeking a Friend for the End of the World
94,25,Seeking a Friend for the End of the World
95,28,Dredd
95,24,Dredd
95,20,Dredd
95,60,Dredd
95,99,Dredd
96,8,Friends with Benefits
96,96,Friends with Benefits
96,62,Friends with Benefits
96,12,Friends with Benefits
96,57,Friends with Benefits
97,57,Battle: Los Angeles
97,28,Battle: Los Angeles
97,62,Battle: Los Angeles
97,15,Battle: Los Angeles
97,32,Battle: Los Angeles
98,81,Megamind
98,92,Megamind
98,33,Megamind
98,89,Megamind
98,62,Megamind
99,100,The Losers
99,73,The Losers
99,101,Aurora
99,95,The Losers
